lila_lemma	lila_inftype	inftype_qid
lemma/109601	v5r	Q336
lemma/111158	v5r	Q336
lemma/112484	v1r	Q331
lemma/114274	v1r	Q331
lemma/118500	v3r	Q334
lemma/122851	v3r	Q334
lemma/125423	v1r	Q331
lemma/126735	v1r	Q331
lemma/126788	v1r	Q331
lemma/131790	v1r	Q331
lemma/142127	v3r	Q334
lemma/26304	v1d	Q330
lemma/26476	v4r	Q335
lemma/27881	v1r	Q331
lemma/33727	v1r	Q331
lemma/38832	v1r	Q331
lemma/38984	v3r	Q334
lemma/46156	v1r	Q331
lemma/49412	v1r	Q331
lemma/52028	v1r	Q331
lemma/58850	v1r	Q331
lemma/59687	v1r	Q331
lemma/59837	v1r	Q331
lemma/68060	v3r	Q334
lemma/73170	v3r	Q334
lemma/73638	v1r	Q331
lemma/76244	v1r	Q331
lemma/76490	v4r	Q335
lemma/82900	v1r	Q331
lemma/85122	v2r	Q332
lemma/86968	v1r	Q331
lemma/94288	v3r	Q334
lemma/95061	v1r	Q331
lemma/98350	v1r	Q331
lemma/98401	v1r	Q331
lemma/98866	v3r	Q334
lemma/99426	v3r	Q334
lemma/102049	v4r	Q335
lemma/102470	v3r	Q334
lemma/102917	v4r	Q335
lemma/103784	v1r	Q331
lemma/114549	v3r	Q334
lemma/116761	v3r	Q334
lemma/117425	v1r	Q331
lemma/119157	v3r	Q334
lemma/119584	v3r	Q334
lemma/122727	v3r	Q334
lemma/125178	v2r	Q332
lemma/128210	v1r	Q331
lemma/128981	v1r	Q331
lemma/134294	v1r	Q331
lemma/134345	v1r	Q331
lemma/26606	v1d	Q330
lemma/27473	v3r	Q334
lemma/28033	v4r	Q335
lemma/28498	v1r	Q331
lemma/28901	v1r	Q331
lemma/30417	v3r	Q334
lemma/30617	v1r	Q331
lemma/31033	v1d	Q330
lemma/36961	v1r	Q331
lemma/38175	v3r	Q334
lemma/47566	v1r	Q331
lemma/47736	v1r	Q331
lemma/58391	v1r	Q331
lemma/59727	v1r	Q331
lemma/68168	v1r	Q331
lemma/74923	v1r	Q331
lemma/88040	v2r	Q332
lemma/94143	v1r	Q331
lemma/95430	v3r	Q334
lemma/95476	v3r	Q334
lemma/96175	v5r	Q336
lemma/98789	v3r	Q334
lemma/99784	v3r	Q334
lemma/100873	v1r	Q331
lemma/101382	v1r	Q331
lemma/101862	v2r	Q332
lemma/101863	v4r	Q335
lemma/106696	v1r	Q331
lemma/108226	v1r	Q331
lemma/110719	v1r	Q331
lemma/111159	v6r	Q337
lemma/111460	v1r	Q331
lemma/112536	v1d	Q330
lemma/112537	v1r	Q331
lemma/114223	v3r	Q334
lemma/114591	v1r	Q331
lemma/116821	v5r	Q336
lemma/117113	v1r	Q331
lemma/122550	v5r	Q336
lemma/122852	v1r	Q331
lemma/124551	v1r	Q331
lemma/126324	v1r	Q331
lemma/126736	v1r	Q331
lemma/127191	v1r	Q331
lemma/128648	v2r	Q332
lemma/141784	v1r	Q331
lemma/31143	v1r	Q331
lemma/31427	v1r	Q331
lemma/32294	v1r	Q331
lemma/35472	v1d	Q330
lemma/41692	v1r	Q331
lemma/43170	v1r	Q331
lemma/45164	v1r	Q331
lemma/46444	v4r	Q335
lemma/46490	v1r	Q331
lemma/46554	v1r	Q331
lemma/48765	v1r	Q331
lemma/50863	v1r	Q331
lemma/52963	v1r	Q331
lemma/54106	v4r	Q335
lemma/58499	v1r	Q331
lemma/69835	v1r	Q331
lemma/70316	v1r	Q331
lemma/76491	v4r	Q335
lemma/82280	v1r	Q331
lemma/82620	v3r	Q334
lemma/87686	v3r	Q334
lemma/91333	v3r	Q334
lemma/92248	v1d	Q330
lemma/94108	v3r	Q334
lemma/94289	v3r	Q334
lemma/96141	v1r	Q331
lemma/98351	v1r	Q331
lemma/98402	v1r	Q331
lemma/98428	v4r	Q335
lemma/99427	v3r	Q334
lemma/100020	v2d	Q347
lemma/100021	v2r	Q332
lemma/100579	v2r	Q332
lemma/101025	v1r	Q331
lemma/102624	v2r	Q332
lemma/103785	v1r	Q331
lemma/108542	v5d	Q341
lemma/111103	v1r	Q331
lemma/113682	v1r	Q331
lemma/114423	v2r	Q332
lemma/122754	v3r	Q334
lemma/122853	v1r	Q331
lemma/123210	v4r	Q335
lemma/125179	v3r	Q334
lemma/125407	v1r	Q331
lemma/129185	v1r	Q331
lemma/132919	v1r	Q331
lemma/134295	v1r	Q331
lemma/136819	v1r	Q331
lemma/137073	v1r	Q331
lemma/142078	v1r	Q331
lemma/27693	v4r	Q335
lemma/28034	v3r	Q334
lemma/28776	v1r	Q331
lemma/29003	v1r	Q331
lemma/31140	v1r	Q331
lemma/33263	v1r	Q331
lemma/39086	v1r	Q331
lemma/43630	v1r	Q331
lemma/44219	v1r	Q331
lemma/44460	v1r	Q331
lemma/47689	v1r	Q331
lemma/49045	v1r	Q331
lemma/53356	v1r	Q331
lemma/59361	v3r	Q334
lemma/64590	v1r	Q331
lemma/81005	v1r	Q331
lemma/82728	v7e	Q343
lemma/83646	v3r	Q334
lemma/87378	v2r	Q332
lemma/94490	v3r	Q334
lemma/95432	v5r	Q336
lemma/96176	v2r	Q332
lemma/96446	v3r	Q334
lemma/99785	v3r	Q334
lemma/101383	v3r	Q334
lemma/101490	v1r	Q331
lemma/102403	v3r	Q334
lemma/104350	v4r	Q335
lemma/104805	v1d	Q330
lemma/106232	v3r	Q334
lemma/107201	v3r	Q334
lemma/109603	v1r	Q331
lemma/114224	v3r	Q334
lemma/117114	v1r	Q331
lemma/117393	v1r	Q331
lemma/123275	v1r	Q331
lemma/126274	v1d	Q330
lemma/126737	v1r	Q331
lemma/127822	v2r	Q332
lemma/129468	v1r	Q331
lemma/141734	v2r	Q332
lemma/142022	v2e	Q352
lemma/28392	v1r	Q331
lemma/29468	v1r	Q331
lemma/34590	v3r	Q334
lemma/34748	v1r	Q331
lemma/37093	v1r	Q331
lemma/40367	v1r	Q331
lemma/40418	v	Q351
lemma/41552	v1r	Q331
lemma/46491	v1r	Q331
lemma/47587	v1r	Q331
lemma/50394	v1d	Q330
lemma/51822	v6	Q345
lemma/55532	v3r	Q334
lemma/58852	v1r	Q331
lemma/59840	v1r	Q331
lemma/60761	v1r	Q331
lemma/69412	v1r	Q331
lemma/76446	v1r	Q331
lemma/76543	v1r	Q331
lemma/79863	v1r	Q331
lemma/85438	v1r	Q331
lemma/86923	v1r	Q331
lemma/95381	v3r	Q334
lemma/98868	v1r	Q331
lemma/99129	v2r	Q332
lemma/101760	v1r	Q331
lemma/105546	v4r	Q335
lemma/106590	v3r	Q334
lemma/108635	v2r	Q332
lemma/109625	v1r	Q331
lemma/111223	v1r	Q331
lemma/112409	v4r	Q335
lemma/112448	v3r	Q334
lemma/113686	v1r	Q331
lemma/113725	v3e	Q339
lemma/116054	v1r	Q331
lemma/116656	v5r	Q336
lemma/119848	v2r	Q332
lemma/122854	v1r	Q331
lemma/126088	v3r	Q334
lemma/126653	v3r	Q334
lemma/126739	v2r	Q332
lemma/128678	v5r	Q336
lemma/129186	v1r	Q331
lemma/25997	v1r	Q331
lemma/30733	v1r	Q331
lemma/31786	v1r	Q331
lemma/32160	v1r	Q331
lemma/33315	v1r	Q331
lemma/46347	v1r	Q331
lemma/48605	v1r	Q331
lemma/52332	v6	Q345
lemma/52966	v1r	Q331
lemma/57118	v1r	Q331
lemma/58200	v3d	Q338
lemma/59692	v1r	Q331
lemma/71337	v2r	Q332
lemma/75166	v1r	Q331
lemma/76246	v1r	Q331
lemma/82788	v3r	Q334
lemma/87011	v2r	Q332
lemma/88006	v3r	Q334
lemma/95681	v2r	Q332
lemma/96228	v1r	Q331
lemma/96488	v1r	Q331
lemma/98006	v3r	Q334
lemma/98688	v1d	Q330
lemma/98689	v1r	Q331
lemma/99081	v1r	Q331
lemma/99786	v1r	Q331
lemma/101491	v1r	Q331
lemma/106867	v3r	Q334
lemma/108590	v1r	Q331
lemma/109459	v2r	Q332
lemma/112380	v3d	Q338
lemma/114225	v1r	Q331
lemma/114275	v3r	Q334
lemma/117394	v3r	Q334
lemma/118504	v1r	Q331
lemma/122395	v3r	Q334
lemma/123006	v6r	Q337
lemma/124504	v3r	Q334
lemma/124741	v1r	Q331
lemma/124797	v1d	Q330
lemma/125425	v1r	Q331
lemma/128621	v3r	Q334
lemma/129506	v3r	Q334
lemma/130002	v3r	Q334
lemma/130467	v1r	Q331
lemma/133271	v1r	Q331
lemma/137920	v2r	Q332
lemma/141735	v6r	Q337
lemma/142023	v1d	Q330
lemma/27587	v3r	Q334
lemma/29413	v1r	Q331
lemma/30157	v1r	Q331
lemma/30353	v1r	Q331
lemma/33747	v1r	Q331
lemma/39772	v1r	Q331
lemma/47270	v1r	Q331
lemma/56502	v4r	Q335
lemma/58451	v1r	Q331
lemma/68015	v1r	Q331
lemma/75997	v1r	Q331
lemma/76036	v1r	Q331
lemma/76545	v1r	Q331
lemma/78538	v1r	Q331
lemma/81773	v1r	Q331
lemma/82130	v1d	Q330
lemma/83188	v1r	Q331
lemma/87908	v1r	Q331
lemma/95152	v2d	Q347
lemma/98716	v1r	Q331
lemma/98869	v3r	Q334
lemma/102161	v3r	Q334
lemma/102515	v6r	Q337
lemma/104260	v1d	Q330
lemma/106642	v1r	Q331
lemma/107417	v3r	Q334
lemma/108134	v1r	Q331
lemma/108636	v3r	Q334
lemma/121178	v1r	Q331
lemma/122855	v1r	Q331
lemma/126742	v3r	Q334
lemma/127704	v1r	Q331
lemma/128679	v1r	Q331
lemma/129187	v2d	Q347
lemma/129188	v2r	Q332
lemma/129189	v3d	Q338
lemma/135288	v3r	Q334
lemma/25998	v1r	Q331
lemma/26272	v1r	Q331
lemma/28040	v1r	Q331
lemma/28904	v1r	Q331
lemma/43581	v1r	Q331
lemma/46952	v3r	Q334
lemma/47870	v1r	Q331
lemma/48895	v1r	Q331
lemma/48900	v1r	Q331
lemma/59414	v1r	Q331
lemma/59879	v1r	Q331
lemma/83597	v1r	Q331
lemma/88041	v3r	Q334
lemma/88395	v1r	Q331
lemma/89534	v1r	Q331
lemma/95683	v1r	Q331
lemma/95727	v1r	Q331
lemma/97555	v3r	Q334
lemma/97964	v3r	Q334
lemma/98007	v3r	Q334
lemma/98762	v1d	Q330
lemma/98763	v1r	Q331
lemma/99083	v1d	Q330
lemma/99787	v3r	Q334
lemma/103680	v1r	Q331
lemma/106134	v3r	Q334
lemma/106352	v1r	Q331
lemma/106868	v5r	Q336
lemma/107924	v3r	Q334
lemma/108543	v2r	Q332
lemma/111737	v5r	Q336
lemma/114226	v2r	Q332
lemma/114276	v4r	Q335
lemma/117218	v1d	Q330
lemma/120423	v3r	Q334
lemma/121018	v4r	Q335
lemma/122396	v1r	Q331
lemma/122447	v5r	Q336
lemma/122551	v1r	Q331
lemma/126276	v1d	Q330
lemma/126327	v3r	Q334
lemma/126689	v6r	Q337
lemma/128571	v3r	Q334
lemma/128622	v3d	Q338
lemma/141785	v1r	Q331
lemma/142024	v3r	Q334
lemma/29076	v1r	Q331
lemma/32700	v1r	Q331
lemma/34643	v1r	Q331
lemma/38373	v4r	Q335
lemma/57587	v1r	Q331
lemma/62808	v1r	Q331
lemma/73225	v7e	Q343
lemma/74602	v1r	Q331
lemma/75627	v2r	Q332
lemma/76494	v1r	Q331
lemma/76928	v1r	Q331
lemma/86924	v3r	Q334
lemma/86971	v3r	Q334
lemma/93318	v3r	Q334
lemma/94973	v1d	Q330
lemma/96071	v1r	Q331
lemma/98273	v2r	Q332
lemma/98354	v1r	Q331
lemma/98405	v1r	Q331
lemma/101767	v1r	Q331
lemma/102472	v3r	Q334
lemma/106900	v3r	Q334
lemma/107164	v1r	Q331
lemma/107677	v3r	Q334
lemma/108121	v3d	Q338
lemma/108637	v3r	Q334
lemma/111106	v1d	Q330
lemma/116602	v2r	Q332
lemma/116709	v5r	Q336
lemma/117080	v2r	Q332
lemma/117377	v3r	Q334
lemma/120525	v1r	Q331
lemma/122755	v1r	Q331
lemma/123214	v1r	Q331
lemma/126292	v1r	Q331
lemma/137970	v1r	Q331
lemma/26318	v1r	Q331
lemma/26359	v1r	Q331
lemma/28396	v4r	Q335
lemma/30479	v3r	Q334
lemma/31070	v1r	Q331
lemma/40313	v3r	Q334
lemma/43342	v1d	Q330
lemma/46714	v4r	Q335
lemma/49048	v1r	Q331
lemma/55943	v1r	Q331
lemma/56013	v1r	Q331
lemma/59364	v1d	Q330
lemma/75935	v1r	Q331
lemma/76404	v3r	Q334
lemma/80800	v1r	Q331
lemma/86453	v4r	Q335
lemma/87379	v3r	Q334
lemma/88396	v4r	Q335
lemma/88447	v1r	Q331
lemma/89023	v3r	Q334
lemma/94493	v1r	Q331
