token_id	wikibase_qid
005.SCG*LB1.CP-8++3.N.-5.1-2.6-5W36	Q546
005.SCG*LB2.CP--++3.N.-1.4-1.6-5W12	Q547
005.SCG*LB3.CP16++0.N.-2.4-6.7-1W20	Q548
005.SCG*LB4.CP-5++9.N.-1.10-3.12-1W7	Q549
005.SCG*LB3.CP13++6.N.13.14-1.18-2W6	Q550
005.SCG*LB2.CP--++3.N.-6.6-1.10-3W17	Q551
005.SCG*LB4.CP-5++4.N.-8.3-1.11-7W23	Q552
005.SCG*LB3.CP-2++5.N.-9.3-5.6-4W4	Q553
005.SCG*LB4.CP-1++8.N.-5.7-6.8-5W10	Q554
005.SCG*LB2.CP-1++8.N.-4.15-2.18-2W11	Q555
005.SCG*LB1.CP-3++8.N.-4.5-4.8-4W8	Q556
005.SCG*LB2.CP-6++7.N.-2.2-3.4-1W6	Q557
005.SCG*LB4.CP-5++5.N.12.18-1.18-8W3	Q558
005.SCG*LB1.CP-1++3.N.19.17-7.19-6W13	Q559
005.SCG*LB3.CP13++0.N.-4.18-1.20-1W7	Q560
005.SCG*LB2.CP-5++8.N.-8.22-2.24-3W5	Q561
005.SCG*LB2.CP-5++7.N.10.5-4.6-6W1	Q562
005.SCG*LB3.CP12++7.N.-7.21-4.23-6W14	Q563
005.SCG*LB4.CP-5++5.N.12.19-1.19-7W3	Q564
005.SCG*LB4.CP-5++5.N.19.36-1.38-1W11	Q565
005.SCG*LB3.CP10++4.N.-8.12-1.15-3W7	Q566
005.SCG*LB4.CP-5++3.N.20.1-1.8-5W21	Q567
005.SCG*LB1.CP--++3.N.-8.1-1.4-5W18	Q568
005.SCG*LB4.CP-5++3.N.14.1-2.5-6W5	Q569
005.SCG*LB3.CP13++1.N.-4.9-4.13-2W22	Q570
005.SCG*LB4.CP-5++5.N.19.36-1.38-1W14	Q571
005.SCG*LB4.CP-5++5.N.19.27-6.30-3W10	Q572
005.SCG*LB4.CP-5++3.N.13.6-1.8-2W10	Q573
005.SCG*LB3.CP13++5.N.22.23-1.26-5W3	Q574
005.SCG*LB2.CP-8++9.N.-3.11-3.16-4W21	Q575
005.SCG*LB3.CP13++0.N.-2.10-1.14-3W21	Q576
005.SCG*LB3.CP13++2.N.30.6-5.7-4W7	Q577
005.SCG*LB3.CP13++5.N.22.29-1.30-4W3	Q578
005.SCG*LB2.CP-3++0.N.15.36-1.39-2W21	Q579
005.SCG*LB3.CP13++1.N.-4.6-3.9-3W12	Q580
005.SCG*LB3.CP13++5.N.22.16-4.19-2W9	Q581
005.SCG*LB2.CP-8++9.N.-3.11-3.16-4W43	Q582
005.SCG*LB3.CP13++5.N.22.30-5.37-5W18	Q583
