lemma	lemmaLabel	variant	variantLabel
lemma/117816	pigro	lemma/117815	pigror
lemma/118109	plaudeo	lemma/118110	plaudo
lemma/118110	plaudo	lemma/118109	plaudeo
lemma/127684	taurobolior	lemma/132156	taurobolio
lemma/132156	taurobolio	lemma/127684	taurobolior
lemma/116103	participor	lemma/116104	participo
lemma/116104	participo	lemma/116103	participor
lemma/91406	baubor	lemma/91407	baubo
lemma/91407	baubo	lemma/91406	baubor
lemma/97248	cunctor	lemma/97249	cuncto
lemma/97249	cuncto	lemma/97248	cunctor
lemma/101820	excalceor	lemma/101821	excalceo
lemma/101821	excalceo	lemma/101820	excalceor
lemma/122887	ruspor	lemma/122888	ruspo
lemma/122888	ruspo	lemma/122887	ruspor
lemma/130326	uirginor	lemma/85310	uirgino
lemma/29171	allugeo	lemma/29172	allugo
lemma/43256	concomito	lemma/95553	concomitor
lemma/85310	uirgino	lemma/130326	uirginor
lemma/90438	astrideo	lemma/90439	astrido
lemma/90439	astrido	lemma/90438	astrideo
lemma/94171	circumlinio	lemma/94170	circumlino
lemma/95553	concomitor	lemma/43256	concomito
lemma/110521	limo	lemma/110522	limio
lemma/110522	limio	lemma/110521	limo
lemma/111199	machinor	lemma/63026	machino
lemma/116769	peregrinor	lemma/136267	peregrino
lemma/119248	praestolor	lemma/119249	praestolo
lemma/119249	praestolo	lemma/119248	praestolor
lemma/122413	reconcilio	lemma/75552	reconcilior
lemma/125182	sordido	lemma/81341	sordidor
lemma/129935	uersificor	lemma/129936	uersifico
lemma/129936	uersifico	lemma/129935	uersificor
lemma/130868	usitor	lemma/85880	usito
lemma/136267	peregrino	lemma/116769	peregrinor
lemma/63026	machino	lemma/111199	machinor
lemma/75552	reconcilior	lemma/122413	reconcilio
lemma/81341	sordidor	lemma/125182	sordido
lemma/85880	usito	lemma/130868	usitor
lemma/86957	abominor	lemma/86958	abomino
lemma/86958	abomino	lemma/86957	abominor
lemma/93299	cette	lemma/93300	cedo
lemma/93300	cedo	lemma/93299	cette
lemma/102329	exspatior	lemma/102330	exspatio
lemma/102330	exspatio	lemma/102329	exspatior
lemma/111547	manticulor	lemma/63866	manticulo
lemma/114867	oleo	lemma/114868	olo
lemma/114868	olo	lemma/114867	oleo
lemma/119029	praemior	lemma/119030	praemio
lemma/119030	praemio	lemma/119029	praemior
lemma/29172	allugo	lemma/29171	allugeo
lemma/63866	manticulo	lemma/111547	manticulor
lemma/86945	abnueo	lemma/86946	abnuo
lemma/86946	abnuo	lemma/86945	abnueo
lemma/105375	heredito	lemma/136252	haereditor
lemma/118116	pudesco	lemma/142057	pudescit
lemma/120401	pugillor	lemma/120402	pugillo
lemma/120402	pugillo	lemma/120401	pugillor
lemma/122543	regrador	lemma/122544	regrado
lemma/122544	regrado	lemma/122543	regrador
lemma/122832	rideor	lemma/122833	rideo
lemma/122833	rideo	lemma/122832	rideor
lemma/123750	sciscitor	lemma/123751	sciscito
lemma/123751	sciscito	lemma/123750	sciscitor
lemma/136252	haereditor	lemma/105375	heredito
lemma/142057	pudescit	lemma/118116	pudesco
lemma/30387	angustior	lemma/90975	angustio
lemma/43717	consilio	lemma/96058	consilior
lemma/90975	angustio	lemma/30387	angustior
lemma/96058	consilior	lemma/43717	consilio
lemma/98280	defloreo	lemma/98281	deflorio
lemma/98281	deflorio	lemma/98280	defloreo
lemma/101349	epulor	lemma/101350	epulo
lemma/101350	epulo	lemma/101349	epulor
lemma/106620	implumbo	lemma/58647	implumbor
lemma/109940	largior	lemma/109941	largio
lemma/109941	largio	lemma/109940	largior
lemma/112108	mereor	lemma/112109	mereo
lemma/112109	mereo	lemma/112108	mereor
lemma/112396	minitor	lemma/112397	minito
lemma/112397	minito	lemma/112396	minitor
lemma/122424	raucor	lemma/122425	rauco
lemma/122425	rauco	lemma/122424	raucor
lemma/129216	tumultuor	lemma/129217	tumultuo
lemma/129217	tumultuo	lemma/129216	tumultuor
lemma/58647	implumbor	lemma/106620	implumbo
lemma/104683	gliscor	lemma/104684	glisco
lemma/111102	lateo	lemma/141901	latet
lemma/120361	pudeo	lemma/142058	pudet
lemma/126369	subsido	lemma/142109	subsideo
lemma/130168	uiduo	lemma/85053	uiduor
lemma/141901	latet	lemma/111102	lateo
lemma/142058	pudet	lemma/120361	pudeo
lemma/142109	subsideo	lemma/126369	subsido
lemma/85053	uiduor	lemma/130168	uiduo
lemma/100982	eminor	lemma/49026	emino
lemma/102797	faeneror	lemma/102798	faenero
lemma/102798	faenero	lemma/102797	faeneror
lemma/136275	caupono	lemma/93245	cauponor
lemma/49026	emino	lemma/100982	eminor
lemma/93245	cauponor	lemma/136275	caupono
lemma/103358	fistulor	lemma/103359	fistulo
lemma/103359	fistulo	lemma/103358	fistulor
lemma/104684	glisco	lemma/104683	gliscor
lemma/125481	sportulor	lemma/81828	sportulo
lemma/127990	testificor	lemma/127991	testifico
lemma/127991	testifico	lemma/127990	testificor
lemma/43032	compartio	lemma/95266	compartior
lemma/81828	sportulo	lemma/125481	sportulor
lemma/95266	compartior	lemma/43032	compartio
lemma/102491	exunguor	lemma/102492	exunguo
lemma/102492	exunguo	lemma/102491	exunguor
lemma/108099	insector	lemma/108100	insecto
lemma/108100	insecto	lemma/108099	insector
lemma/108923	iocor	lemma/108924	ioco
lemma/108924	ioco	lemma/108923	iocor
lemma/110474	lignor	lemma/62229	ligno
lemma/122426	rauio	lemma/122427	rauio
lemma/122427	rauio	lemma/122426	rauio
lemma/124369	separo	lemma/124370	separo
lemma/124370	separo	lemma/124369	separo
lemma/46492	dehospito	lemma/98371	dehospitor
lemma/62229	ligno	lemma/110474	lignor
lemma/87997	affector	lemma/87998	affecto
lemma/87998	affecto	lemma/87997	affector
lemma/98371	dehospitor	lemma/46492	dehospito
lemma/111985	membror	lemma/64981	membro
lemma/122376	recapitulor	lemma/122377	recapitulo
lemma/122377	recapitulo	lemma/122376	recapitulor
lemma/64981	membro	lemma/111985	membror
lemma/129985	uescor	lemma/129986	uesco
lemma/141741	conuitio	lemma/96460	conuicior
