lexeme	lila_lemma	wikibase_entry
a7005	90975	L19344
a7061	90977	L19345
a7118	90980	L19346
a7990	90993	L19347
a8068	90996	L19348
a8138	91003	L19349
a8662	91016	L19350
a9041	91077	L19351
a9053	91081	L19352
a9091	91082	L19353
a9270	91118	L19354
a9271	91119	L19355
a9311	91120	L19356
a9959	91142	L19357
a9961	91144	L19358
a9962	91145	L19359
a9967	91150	L19360
b0022	91209	L19361
b0029	91220	L19362
b0037	91230	L19363
b0046	91239	L19364
b0057	91250	L19365
b0058	91251	L19366
b0058	91251	L19366
b0061	91254	L19367
b0074	91269	L19368
b0086	91284	L19369
b0094	91292	L19370
b0112	91313	L19371
b0119	91323	L19372
b0126	91333	L19373
b0128	91335	L19374
b0132	91339	L19375
b0146	91353	L19376
b0168	91381	L19377
b0179	91392	L19378
b0191	91404	L19379
b0193	91407	L19380
b0203	91418	L19381
b0209	91424	L19382
b0231	91446	L19383
b0234	91450	L19384
b0241	91458	L19385
b0276	91495	L19386
b0278	91497	L19387
b0290	91511	L19388
b0311	91532	L19389
b0367	91596	L19390
b0402	91634	L19391
b0402	91634	L19391
b0436	91673	L19392
b0440	91677	L19393
b0449	91686	L19394
b0462	91701	L19395
b0473	91714	L19396
b0477	91718	L19397
b0477	91718	L19397
b0479	91720	L19398
b0513	91755	L19399
b0514	91756	L19400
b0515	91757	L19401
b0519	91761	L19402
b0539	91785	L19403
b0550	91796	L19404
b0575	91825	L19405
b0598	91850	L19406
b0629	91882	L19407
b0653	91907	L19408
b0662	91917	L19409
b0669	91925	L19410
b0672	91928	L19411
b0696	91951	L19412
b0726	91983	L19413
b0730	91987	L19414
b0731	91988	L19415
b0733	91990	L19416
b0765	92026	L19417
b0775	92038	L19418
b0793	92060	L19419
b9075	92081	L19420
b9256	92087	L19421
b9257	92088	L19422
b9258	92089	L19423
b9270	92091	L19424
b9515	92098	L19425
c0005	92120	L19426
c0012	92127	L19427
c0017	92132	L19428
c0029	92144	L19429
c0035	92151	L19430
c0036	92152	L19431
c0048	92164	L19432
c0051	92167	L19433
c0055	92172	L19434
c0061	92179	L19435
c0078	92201	L19436
c0079	92202	L19437
c0081	92205	L19438
c0083	92207	L19439
c0104	92228	L19440
c0108	92234	L19441
c0122	92248	L19442
c0142	92268	L19443
c0151	92278	L19444
