lexeme	lila_lemma	wikibase_entry
a7118	90980	L11299
a7990	90993	L11300
a8068	90996	L11301
a8138	91003	L11302
a8662	91016	L11303
a9041	91077	L11304
a9053	91081	L11305
a9091	91082	L11306
a9270	91118	L11307
a9271	91119	L11308
a9311	91120	L11309
a9959	91142	L11310
a9961	91144	L11311
a9962	91145	L11312
a9967	91150	L11313
b0022	91209	L11314
b0029	91220	L11315
b0037	91230	L11316
b0046	91239	L11317
b0057	91250	L11318
b0061	91254	L11319
b0074	91269	L11320
b0086	91284	L11321
b0094	91292	L11322
b0112	91313	L11323
b0119	91323	L11324
b0126	91333	L11325
b0128	91335	L11326
b0132	91339	L11327
b0146	91353	L11328
b0168	91381	L11329
b0179	91392	L11330
b0191	91404	L11331
b0193	91407	L11332
b0203	91418	L11333
b0209	91424	L11334
b0231	91446	L11335
b0234	91450	L11336
b0241	91458	L11337
b0276	91495	L11338
b0278	91497	L11339
b0290	91511	L11340
b0311	91532	L11341
b0367	91596	L11342
b0436	91673	L11343
b0440	91677	L11344
b0449	91686	L11345
b0462	91701	L11346
b0473	91714	L11347
b0479	91720	L11348
b0513	91755	L11349
b0514	91756	L11350
b0515	91757	L11351
b0519	91761	L11352
b0539	91784	L11353
b0550	91796	L11354
b0575	91825	L11355
b0598	91850	L11356
b0629	91882	L11357
b0653	91907	L11358
b0662	91917	L11359
b0669	91925	L11360
b0672	91928	L11361
b0696	91951	L11362
b0726	91983	L11363
b0730	91987	L11364
b0731	91988	L11365
b0733	91990	L11366
b0765	92026	L11367
b0775	92038	L11368
b0793	92060	L11369
b9075	92081	L11370
b9256	92087	L11371
b9257	92088	L11372
b9258	92089	L11373
b9270	92091	L11374
b9515	92098	L11375
c0005	92120	L11376
c0012	92127	L11377
c0017	92132	L11378
c0029	92144	L11379
c0035	92151	L11380
c0036	92152	L11381
c0048	92164	L11382
c0051	92167	L11383
c0055	92172	L11384
c0061	92179	L11385
c0078	92201	L11386
c0079	92202	L11387
c0081	92205	L11388
c0083	92207	L11389
c0104	92228	L11390
c0108	92234	L11391
c0122	92248	L11392
c0142	92268	L11393
c0151	92278	L11394
c0155	92283	L11395
c0193	92327	L11396
c0200	92334	L11397
c0203	92337	L11398
c0209	92343	L11399
c0215	92351	L11400
c0218	92354	L11401
c0222	92358	L11402
c0227	92363	L11403
c0230	92366	L11404
c0237	92375	L11405
c0240	92378	L11406
c0250	92390	L11407
c0271	92413	L11408
c0272	92414	L11409
c0283	92426	L11410
c0289	92432	L11411
c0289_sc	92433	L11412
c0296	92443	L11413
c0298	92445	L11414
c0299	92448	L11415
c0310	92460	L11416
c0311	92461	L11417
c0324	92474	L11418
c0335	92491	L11419
c0344	92500	L11420
c0372	92531	L11421
c0376	92535	L11422
c0376_sc	92536	L11423
c0381	92541	L11424
c0382	92542	L11425
c0386	92547	L11426
c0388	92550	L11427
c0392	92554	L11428
c0395	92559	L11429
c0400	92564	L11430
c0400_sc	92565	L11431
c0405	92570	L11432
c0428	92600	L11433
c0432	92607	L11434
c0462	92641	L11435
c0464	92643	L11436
