token,linked_form
Q62581,L25938-F4
Q66309,L25938-F109
Q62052,L22180-F7
Q32406,L25938-F108
Q2398,L18960-F4
Q37081,L25938-F4
Q30564,L24268-F4
Q29995,L25938-F77
Q1655,L18873-F19
Q29995,L25939-F149
Q49117,L25938-F77
Q60283,L23334-F7
Q47198,L23749-F199
Q70254,L24268-F14
Q17430,L22992-F440
Q10124,L20380-F61
Q17125,L21213-F161
Q42205,L21304-F123
Q9657,L20346-F273
Q19044,L23430-F55
Q49223,L22888-F55
Q55944,L25938-F24
Q52433,L22721-F116
Q4576,L19389-F4
Q52222,L26577-F173
Q14487,L21001-F110
Q14975,L21001-F265
Q52491,L25938-F4
Q27508,L22180-F1
Q28731,L23749-F287
Q57041,L25938-F4
Q53816,L23749-F199
Q19928,L25938-F1
Q45529,L25938-F4
Q13283,L21001-F323
Q55953,L25938-F4
Q54939,L21214-F4
Q31071,L25269-F43
Q26451,L25938-F108
Q61910,L26582-F55
Q39421,L26577-F297
Q58589,L25938-F4
Q924,L18707-F1
Q69689,L25938-F7
Q66563,L21817-F189
Q19477,L25938-F7
Q8368,L20212-F40
Q39550,L25938-F4
Q42866,L25938-F4
Q43243,L23749-F199
Q58860,L22847-F40
Q26426,L25938-F1
Q42841,L25938-F1
Q7457,L20035-F8
Q70088,L25938-F4
Q37192,L25938-F4
Q50846,L24517-F16
Q7583,L20094-F55
Q42856,L25938-F4
Q22320,L26161-F149
Q14790,L21001-F296
Q55927,L25938-F4
Q30178,L24334-F2
Q40491,L25938-F4
Q25042,L25938-F4
Q52932,L25938-F4
Q46008,L24255-F55
Q30323,L26067-F75
Q10773,L20425-F187
Q34472,L24817-F276
Q11114,L20530-F4
Q26408,L25938-F24
Q63509,L25938-F108
Q33084,L21130-F10
Q19911,L25938-F4
Q45840,L22888-F55
Q55912,L24268-F4
Q9156,L20248-F152
Q7119,L19983-F349
Q29180,L21050-F10
Q32376,L26329-F266
Q36200,L26516-F19
Q4833,L19538-F38
Q38652,L22180-F7
Q68166,L24264-F16
Q777,L18696-F7
Q35871,L25525-F216
Q39924,L25330-F110
Q26515,L25941-F260
Q22328,L24625-F10
Q54716,L22433-F10
Q40632,L24134-F10
Q42825,L24268-F4
Q35413,L22721-F360
Q60895,L25938-F109
Q49259,L25938-F4
Q39701,L21075-F122
Q42216,L22721-F122
Q63902,L22258-F16
Q21374,L22180-F1
Q58997,L25938-F2
Q7798,L20167-F1
Q50308,L25476-F4
Q21875,L26554-F52
Q3625,L19143-F15
Q36657,L25938-F7
Q28811,L22180-F7
Q11636,L20796-F75
Q2423,L18960-F1
Q67755,L23749-F291
Q37721,L23935-F42
Q54526,L25938-F4
Q70140,L25938-F4
Q64787,L21825-F4
Q49918,L25938-F4
Q14338,L21001-F323
Q51412,L26591-F149
Q16341,L24423-F197
Q9062,L20229-F1
Q70247,L25115-F55
Q12280,L20927-F1
Q4285,L19288-F110
Q48468,L24268-F58
Q55098,L22180-F4
Q27511,L25938-F4
Q47638,L22352-F429
Q35364,L22721-F10
Q20108,L22180-F10
Q49907,L25938-F4
Q10467,L20425-F179
Q9067,L20229-F4
Q35443,L25938-F4
Q10467,L20425-F253
Q64950,L25938-F4
Q69965,L24985-F87
Q60506,L22721-F2
Q48485,L25938-F4
Q16839,L25938-F108
Q19344,L24134-F1
Q10084,L20353-F109
Q50852,L25938-F4
Q39196,L24268-F4
Q11258,L20563-F7
Q2435,L18960-F7
Q24228,L25938-F7
Q28735,L25938-F30
Q18685,L25938-F4
Q48911,L26160-F30
Q23296,L25938-F4
Q29824,L25938-F4
Q2422,L18960-F7
Q30757,L25938-F4
Q18679,L25938-F4
Q63607,L25938-F1
Q54948,L25938-F4
Q52377,L25941-F58
Q26637,L22180-F7
Q26231,L21111-F4
Q66189,L21344-F46
Q63243,L22180-F7
Q70772,L22721-F128
Q30747,L25938-F4
Q5956,L19810-F4
Q18180,L25938-F1
Q56280,L24255-F381
Q40099,L24268-F10
Q59618,L25938-F4
Q21527,L22180-F4
Q39249,L23818-F4
Q18117,L25525-F42
Q65552,L25938-F4
Q53417,L25938-F77
Q68446,L26577-F297
Q31612,L23334-F4
Q53417,L25939-F149
Q44785,L26584-F15
Q11595,L20764-F55
Q44003,L22721-F366
Q36226,L23749-F199
Q17086,L22329-F163
Q26514,L25938-F7
Q54189,L25938-F4
Q49777,L21369-F150
Q28386,L25938-F4
Q11592,L20764-F55
Q31125,L22180-F149
Q59597,L25938-F4
Q53595,L22180-F75
Q26046,L25938-F4
Q23722,L25938-F4
Q29758,L25938-F1
Q32325,L22120-F159
Q55519,L24268-F4
Q14493,L21001-F32
Q55272,L26285-F266
Q3427,L19119-F8
