lexeme_id	label
b0473	blasphemo
b0477	blatero
b0479	blatio
b0513	bombico
b0514	bombilo
b0515	bombio
b0519	bombizo
b0539	boo
b0550	borrio
b0575	bouinor
b0598	bractor
b0629	breuio
b0653	brutesco
b0662	bubino
b0669	bubulcito
b0672	bubulo
b0696	bucino
b0726	bulimo
b0730	bullesco
b0731	bullio
b0733	bullo
b0765	busto
b0775	butio
b0793	benefico
b9075	balneo
b9256	benedico
b9257	benefacio
b9258	benefio
b9270	beneplaceo
b9515	bombito
c0005	caballico
c0012	cacabo
c0017	cacaturio
c0029	cachinno
c0035	cacillo
c0036	caco
c0048	caculor
c0051	cacumino
c0055	cadesco
c0061	cado
c0078	caeco
c0079	caeculto
c0081	caecutio
c0083	caedo
c0104	caelo
c0108	collucesco
c0122	caerimonior
c0142	caespito
c0151	caio
c0155	calabrico
c0193	calceo
c0200	calcitro
c0203	calco
c0209	calculo
c0214	calefacio
c0215	calefio
c0218	calefacto
c0222	caleo
c0227	calico
c0230	calido
c0237	caligino
c0240	caligo
c0250	calleo
c0271	calo
c0272	calo
c0283	coalo
c0289	calueo
c0289_sc	caluesco
c0296	calumnio
c0298	caluo
c0299	caluo
c0310	camaro
c0311	cambio
c0324	camino
c0335	campestror
c0344	campso
c0372	cancello
c0376	cancero
c0376_sc	cancerasco
c0381	candefacio
c0382	candefio
c0386	cando
c0388	candico
c0392	candido
c0395	candifico
c0400	caneo
c0400_sc	canisco
c0405	canifico
c0428	cano
c0432	canonizo
c0462	cantilo
c0464	cantito
c0466	canto
c0470	canturio
c0481	capello
c0484	caperro
c0485	capesso
c0492	capillasco
c0500	capio
c0505	capistro
c0545	caprifico
c0552	caprio
c0573	captito
c0580	captiuo
c0582	capto
c0589	capulo
c0601	carbonesco
c0604	carbunculo
c0612	carcero
c0627	carino
c0637	careo
c0646	carino
c0660	carmino
c0675	carnifico
c0680	caro
c0698	carpo
c0705	carrico
c0747	cassesco
c0757	casito
c0758	casso
c0770	castifico
c0776	castigo
c0796	castro
c0816	collibescit
c0836	cataplasmo
c0864	catechizo
c0877	cateno
c0898	catillo
c0905	cato
c0910	catomidio
c0917	cauefio
c0921	catulio
c0943	caudifico
c0948	cauefacio
c0949	caueo
c0954	cauerno
c0966	cauillo
c0980	cauo
c0987	cauponor
c0993	caurio
c1007	causidicor
c1009	causificor
c1012	causo
c1017	cauterio
c1019	cauterizo
c1031	cedo
c1048	celebresco
c1049	celebro
c1059	celero
c1078	celo
c1101	calesco
c1102	cenaturio
c1107	cenito
c1108	ceno
c1119	censeo
c1133	contingo
c1135	centesimo
c1163	centuplico
c1169	centurio
c1235	cerifico
c1244	cerno
c1245	candesco
c1246	cernulo
c1248	cernuo
c1250	cero
c1269	certifico
c1270	certioro
c1271	certisco
c1271_sc	certisco
c1274	certo
c1303	cesso
c1320	ceueo
c1390	caraxo
c1395	charmido
c1411	casmo
c1430	caresco
c1511	chrismo
c1512	christianizo
c1535	cohaeresco
c1574	cibo
c1579	cicatrico
c1599	cicuro
c1604	cieo
c1613	cillo
c1625	cimusso
c1645	cineresco
c1651	cingo
c1677	circino
c1682	circito
c1686	circo
c1693	circulo
c1697	circumaggero
c1698	circumago
c1699	circumambulo
c1700	circumamicio
c1701	circumamplector
c1702	circumaperio
c1703	circumaro
c1704	circumaspicio
c1705	circumassisto
c1707	circumaufero
c1708	circumcalco
c1712	circumcido
c1714	circumcingo
c1719	circumcirco
c1724	circumclamo
c1725	circumcludo
c1727	circumcolo
c1729	circumcumulo
c1730	circumcurro
c1732	circumcurso
c1734	circumdo
c1735	circumdoleo
c1736	circumdolo
c1737	circumduco
c1741	circumeo
c1742	circumequito
c1743	circumerro
c1744	circumfarcio
c1745	circumfero
c1746	circumfigo
c1747	circumfingo
c1748	circumfirmo
c1749	circumflagro
c1750	circumflecto
c1753	circumflo
c1754	circumfluo
c1756	circumfodio
c1758	circumforo
c1762	circumfremo
c1763	circumfrico
c1764	circumfulcio
c1765	circumfulgeo
c1768	circumgelo
c1769	circumgemo
c1771	circumgesto
c1772	circumglobo
c1773	circumgredior
c1774	circumgyro
c1777	circumiaceo
c1778	circumicio
c1781	circuminicio
c1782	circuminsidior
c1785	circumlabor
c1786	circumlambo
c1787	circumlaqueo
c1792	circumlatro
c1794	circumlauo
c1795	circumlego
c1797	circumligo
c1798	circumlino
c1802	circumloquor
c1803	circumluceo
c1804	circumluo
c1805	circumlustro
c1808	circummeo
c1809	circummetio
c1810	circummingo
c1811	circummitto
c1812	circummoueo
c1813	circummugio
c1814	circummulceo
c1815	circummunio
c1819	circumnauigo
c1820	circumno
c1821	circumnecto
c1822	circumnoto
c1823	circumobruo
c1826	circumpauio
c1828	circumpendeo
c1831	circumplaudo
c1832	circumplecto
c1833	circumplico
c1834	circumplumbo
c1835	circumpono
c1838	circumpulso
c1839	circumpurgo
c1840	circumputo
c1842	circumrado
c1844	circumrefero
c1845	circumretio
c1846	circumrodo
c1847	circumroro
c1848	circumroto
c1849	circumrumpo
c1850	circumsaepio
c1851	circumsaeuio
c1853	circumscalpo
c1854	circumscaripho
c1855	circumscindo
c1856	circumscribo
c1859	circumseco
c1861	circumsedeo
c1862	circumseparo
c1863	circumsero
c1865	circumsigno
c1866	circumsilio
c1867	circumsisto
c1869	circumsoluo
c1870	circumsono
c1875	circumspecto
c1877	circumspergo
c1878	circumspicio
c1879	circumspiro
c1880	circumspumo
c1881	circumstagno
c1883	circumstipo
c1888	circumstrepo
c1890	circumstringo
