flexeme	lexeme	lila_lemma	wikibase_entry
i0549_5498	i0549	106590	L5206
i0551_5499	i0551	106592	L5207
i0551_5500	i0551	106592	L5208
i0552_5501	i0552	106593	L5209
i0552_5502	i0552	106593	L5210
i0558_5503	i0558	106599	L5211
i0558_5504	i0558	106599	L5212
i0560_5505	i0560	106601	L5213
i0560_5506	i0560	106601	L5214
i0564_5507	i0564	106605	L5215
i0564_5508	i0564	106605	L5216
i0566_5509	i0566	106607	L5217
i0566_5510	i0566	106607	L5218
i0572_5511	i0572	106614	L5219
i0572_5512	i0572	106614	L5220
i0573_5513	i0573	106615	L5221
i0573_5514	i0573	106615	L5222
i0574_5515	i0574	106616	L5223
i0574_5516	i0574	106616	L5224
i0574_5517	i0574	106616	L5225
i0574_5518	i0574	106616	L5226
i0574_5519	i0574	106616	L5227
i0574_5520	i0574	106616	L5228
i0574_5521	i0574	106616	L5229
i0574_5522	i0574	106616	L5230
i0577_5523	i0577	106619	L5231
i0577_5524	i0577	106619	L5232
i0577_5525	i0577	106619	L5233
i0578_5526	i0578	106620	L5234
i0578_5527	i0578	106620	L5235
i0580_5528	i0580	106622	L5236
i0580_5529	i0580	106622	L5237
i0580_5530	i0580	106622	L5238
i0580_5531	i0580	106622	L5239
i0591_5532	i0591	106633	L5240
i0591_5533	i0591	106633	L5241
i0593_5538	i0593	106635	L5242
i0593_5539	i0593	106635	L5243
i0593_5540	i0593	106636	L5244
i0593_5541	i0593	106636	L5245
i0593_5542	i0593	106635	L5246
i0593_5543	i0593	106635	L5247
i0593_5544	i0593	106636	L5248
i0593_5545	i0593	106636	L5249
i0599_5546	i0599	106642	L5250
i0599_5547	i0599	106642	L5251
i0614_5548	i0614	106657	L5252
i0614_5549	i0614	106657	L5253
i0626_5550	i0626	106669	L5254
i0626_5551	i0626	106669	L5255
i0629_5552	i0629	106672	L5256
i0629_5553	i0629	106672	L5257
i0632_5554	i0632	106675	L5258
i0632_5555	i0632	106675	L5259
i0638_5556	i0638	106681	L5260
i0638_5557	i0638	106681	L5261
i0639_5558	i0639	106682	L5262
i0639_5559	i0639	106682	L5263
i0652_5560	i0652	106696	L5264
i0652_5561	i0652	106696	L5265
i0677_5562	i0677	106723	L5266
i0677_5563	i0677	106723	L5267
i0679_5564	i0679	106725	L5268
i0679_5565	i0679	106725	L5269
i0691_5566	i0691	106737	L5270
i0691_5567	i0691	106737	L5271
i0697_5568	i0697	106743	L5272
i0697_5569	i0697	106743	L5273
i0698_5570	i0698	106744	L5274
i0698_5571	i0698	106744	L5275
i0706_5572	i0706	106752	L5276
i0715_5573	i0715	106761	L5277
i0715_5574	i0715	106761	L5278
i0718_5575	i0718	106764	L5279
i0718_5576	i0718	106764	L5280
i0726_5577	i0726	106772	L5281
i0731_5578	i0731	106777	L5282
i0734_5579	i0734	106780	L5283
i0739_5580	i0739	106785	L5284
i0739_sc_5581	i0739_sc	106786	L5285
i0740_5582	i0740	106787	L5286
i0740_5583	i0740	106787	L5287
i0741_5584	i0741	106788	L5288
i0743_5585	i0743	106790	L5289
i0745_5586	i0745	106792	L5290
i0746_5587	i0746	106793	L5291
i0748_5588	i0748	106795	L5292
i0749_5589	i0749	106796	L5293
i0753_5590	i0753	106800	L5294
i0756_5591	i0756	106803	L5295
i0766_5592	i0766	106814	L5296
i0766_5593	i0766	106814	L5297
i0775_5594	i0775	106825	L5298
i0778_5595	i0778	106828	L5299
i0779_5596	i0779	106829	L5300
i0779_sc_5597	i0779_sc	106830	L5301
i0780_5598	i0780	106831	L5302
i0783_5599	i0783	106834	L5303
i0789_5600	i0789	106840	L5304
i0798_5601	i0798	106849	L5305
i0798_5602	i0798	106849	L5306
i0798_5603	i0798	106849	L5307
i0798_5604	i0798	106849	L5308
i0801_5605	i0801	106852	L5309
i0805_5606	i0805	106856	L5310
i0816_5607	i0816	106867	L5311
i0817_5608	i0817	106868	L5312
i0818_5609	i0818	106869	L5313
i0820_5610	i0820	106871	L5314
i0821_5611	i0821	106872	L5315
i0822_5612	i0822	106873	L5316
i0823_5613	i0823	106874	L5317
i0824_5614	i0824	106875	L5318
i0824_sc_5615	i0824_sc	106876	L5319
i0828_5616	i0828	106880	L5320
i0831_5617	i0831	106883	L5321
